place,months
해파랑길(강릉 ~ 양양),4 5 6 9 10 11
제주올레(7코스 / 10코스 / 20코스),4 5 6 9 10 11
지리산둘레길(3코스 / 5코스),4 5 6 9 10 11
남파랑길(통영 / 남해),4 5 6 9 10 11
북한산둘레길,4 5 6 9 10 11
강화나들길(8코스),4 5 6 9 10 11
서울 한양도성 순성길(낙산 ~ 북악산),4 5 6 9 10 11
DMZ 트레일,3 4 5 6 9 10 11
청산도 슬로길,3 4 5 6 9 10 11
군산시 선유도,6
덕수궁 돌담길,10
남이섬 겨울,12
서울 남산타워,10 11 12
경복궁(북촌한옥마을>인사동>남산타워),10
북촌한옥마을,4 5 6 9 10
템플스테이,1 9 10 11 12
협곡열차(백두대간 협곡 단풍/낙동강),10 11
서해금빛열차(서해안/군산/익산),3 4 5 6 9 10 11
보령머드축제,7
화천산천어축제,1
진주 남강 유등축제,10
안동 탈춤축제,9 10
진해 군항제,3 4
함평 나비축제,4 5
강릉 단오제,6
금산 인삼축제,9 10
허브아일랜드 불빛축제,12
부산국제영화제,10
서울빛초롱축제,11
자라섬 국제 재즈 페스티벌,10
부천국제만화축제,8
수원화성문화제,10
연등회,5 6
보성 녹차축제,5
설악산 (여름계곡 & 단풍)울산바위>속초중앙시장>경포호>안목커피거리,6 7 8 10
황매산 철쭉,5
무등산,6 7 8
내장산 단풍,9 10 11
지리산(화엄사>쌍계사>지리산둘레길>화개장터),10
오대산,10
태백산 눈꽃,1
한라산 설경,1 2
북한산,
보성녹차밭(죽녹원>메타세콰이어길>대한다원),4 5
메타세콰이어길,10
순천만 갈대 노을 (국가정원>오동도>여수 해상케이블카),10 11
월정사 전나무숲,10
전주한옥마을,4 5 10
해운대블루라인(스카이캡슐/해변열차/산책로),4 5 6 9 10
강릉 커피거리(안목커피거리)(정동진>묵호항),2 9 10 11 12
광양 매화마을,3
화개 십리벚꽃길,3 4
경주 보문단지 벚꽃,4
담양 메타세쿼이아길,5
죽녹원,5
울릉도(성인봉>도동항>죽도),6
해운대 (7~8월),7 8
제주도 우도(성산일출봉>만장굴>주상절리대),6
하회마을,10
불국사(석굴암>대릉원 고분군>동궁과 월지),10
천제연폭포,5 6 10
성산일출봉 일출,7 8 9 10
울산바위,10
거제 해금강(외도보타니아>바람의언덕>남해독일마을>보리암),4 5 6
포항 죽도시장,3 4 5 9 10
구룡포,4 5 9 10
환선굴,6 7 8 9
단양팔경,10
청산도,4 5 9 10
여수 사도,6 7 8 9
울릉도 죽도,6 7 8 9
경포호(경포대>정동진해변>삼척해신당공원>환선굴),5 6 7 8 9 10
거제 해금강 한국 해안 절벽 절경,4 5 6 9 10
부산 태종대 유원지 절벽과 바다 풍경,3 4 5 9 10
만장굴,6 7 8 9
숲과 정원 (인생 사진 및 힐링),
인제 원대리 자작나무 숲: 하얀 나무 기둥과 눈의 조화 (12월~2월),1 2 12
광주 화담숲: 모노레일과 단풍의 절경 (10월 말~11월 초),10 11
창녕 우포늪: 태고의 신비를 간직한 국내 최대 내륙 습지 (5월~6월),5 6
신안 퍼플섬 (반월·박지도): 마을 전체가 보라색인 이색 풍경 (6월~8월),6 7 8
"가평 아침고요수목원: 사계절 꽃축제 및 겨울 빛축제 (5월, 12월)",5 12
담양 소쇄원: 한국 민간 정원의 극치 (5월~6월),5 6
고창 청보리밭 (학원농장): 끝없이 펼쳐진 초록 물결 (4월~5월),4 5
함양 상림숲: 천년의 세월을 간직한 인공림 (9월 꽃무릇),9
제주 사려니숲길: 삼나무 사이로 내리는 햇살 (6월),6
제주 비자림: 천년의 비자나무 숨결 (7월~8월),7 8
"양구 두타연: 민통선 내 숨겨진 비경 (5월, 10월)",5 10
평창 대관령 양떼목장: 한국의 알프스라 불리는 고원 (1월~2월),1 2
산청 동의보감촌: 기(氣)를 받는 한방 테마 파크 (10월),10
구례 화엄사 홍매화: 붉은 매화와 사찰의 미학 (3월 말),3
남해 원예예술촌: 세계 각국의 정원 양식 (5월),5
산과 고원 (트레킹 및 조망),
울산 간월재: 영남알프스 억새 군락지의 은빛 물결 (10월),10
"남해 보리암: 금산 정상에서 바라보는 한려수도와 일출 (1월, 10월)",1 10
태백 매봉산 바람의 언덕: 고랭지 배추밭과 풍차 (8월),8
정선 민둥산: 억새 산행의 성지 (10월 말),10
"평창 발왕산 기 스카이워크: 구름 위를 걷는 듯한 조망 (1월, 10월)",1 10
"원주 소금산 출렁다리: 아찔한 높이의 절벽 산책 (5월, 10월)",5 10
완주 대둔산 구름다리: 수직에 가까운 계단과 단풍 (11월),11
영월 한반도지형: 강물이 빚어낸 한반도 모양 (9월),9
단양 만천하 스카이워크: 남한강이 한눈에 들어오는 전망 (5월),5
